,loss,val_loss
0,463.9565734863281,448.96142578125
1,454.3086242675781,439.6700134277344
2,440.26947021484375,420.4600830078125
3,421.90826416015625,401.7032775878906
4,396.716796875,364.2455139160156
5,366.27496337890625,338.51580810546875
6,349.5677490234375,328.1283874511719
7,337.98779296875,313.67236328125
8,327.0065612792969,302.4486389160156
9,319.9661865234375,294.5624694824219
10,313.3898010253906,287.575927734375
11,308.0549011230469,280.4359436035156
12,301.13232421875,277.5566101074219
13,300.0711669921875,271.9005126953125
14,295.0754699707031,281.38983154296875
15,291.4395446777344,271.9285888671875
16,286.83990478515625,263.3948059082031
17,283.0398254394531,264.57000732421875
18,283.2602844238281,253.9762420654297
19,278.9713134765625,256.29840087890625
20,278.1225891113281,256.7080383300781
21,274.6826171875,256.1663513183594
22,273.0077209472656,261.1820373535156
23,273.8679504394531,255.78163146972656
24,269.7742919921875,248.1465301513672
25,266.3335876464844,246.21913146972656
26,265.6029052734375,246.4159698486328
27,264.6384582519531,245.89414978027344
28,263.5712585449219,234.42442321777344
29,267.8592529296875,249.58590698242188
30,266.6711120605469,240.26199340820312
31,262.4590759277344,238.8363800048828
32,261.5895080566406,237.8666229248047
33,259.8873291015625,237.9930419921875
34,256.4701843261719,229.34303283691406
35,256.5887145996094,233.81576538085938
36,254.9065704345703,230.186767578125
37,252.1470184326172,228.7003631591797
38,251.81600952148438,230.50938415527344
39,250.39732360839844,227.65719604492188
40,247.8372039794922,223.25027465820312
41,246.74978637695312,224.45616149902344
42,247.0245361328125,227.4445343017578
43,247.59364318847656,216.94161987304688
44,248.5968017578125,228.4154510498047
45,244.11965942382812,221.5484161376953
46,243.89193725585938,223.5244140625
47,244.4034881591797,215.2167205810547
48,241.02383422851562,220.05142211914062
49,240.4194793701172,220.1578826904297
50,238.4121856689453,216.8734588623047
51,237.83287048339844,217.575439453125
52,236.2069091796875,219.5650177001953
53,237.89109802246094,209.2334747314453
54,236.64476013183594,208.79559326171875
55,235.55921936035156,209.5551300048828
56,236.95896911621094,211.16615295410156
57,232.5636749267578,211.1941680908203
58,234.9351043701172,213.1141357421875
59,233.55982971191406,211.4263153076172
60,232.77296447753906,206.96807861328125
61,231.8688507080078,205.0027313232422
62,231.2753143310547,209.98489379882812
63,233.99093627929688,215.7694549560547
64,230.69107055664062,206.35891723632812
65,228.8928680419922,208.4768829345703
66,227.6695556640625,204.1023406982422
67,232.10089111328125,209.07464599609375
68,226.62786865234375,204.75906372070312
69,224.9796905517578,204.80722045898438
70,227.08999633789062,207.74708557128906
71,228.3435821533203,207.5072479248047
72,228.40135192871094,204.7685089111328
73,228.25559997558594,205.44656372070312
74,228.25486755371094,204.8464813232422
75,224.97283935546875,206.4761199951172
76,224.05465698242188,201.2675323486328
77,226.00244140625,202.2944793701172
78,226.68251037597656,203.2378387451172
79,221.83389282226562,201.15029907226562
80,223.7436065673828,198.45388793945312
81,223.0380096435547,199.9165802001953
82,219.40296936035156,201.57713317871094
83,222.9647674560547,201.588134765625
84,226.17579650878906,200.73426818847656
85,219.3362274169922,205.41990661621094
86,220.24627685546875,193.37796020507812
87,217.85311889648438,198.30093383789062
88,221.67974853515625,198.2757568359375
89,220.36306762695312,201.06277465820312
90,220.30186462402344,198.27587890625
91,220.0457305908203,200.09254455566406
92,220.3941192626953,194.8853302001953
93,222.54200744628906,199.7953338623047
94,218.65061950683594,194.7646484375
95,217.9057159423828,195.0690155029297
96,217.36453247070312,196.998046875
97,218.36488342285156,200.24546813964844
98,219.22482299804688,203.91993713378906
99,218.1580810546875,199.7622833251953
100,218.02899169921875,194.29476928710938
101,218.31964111328125,199.13888549804688
102,222.90692138671875,196.98892211914062
103,218.33912658691406,196.0521697998047
104,217.24136352539062,193.79412841796875
105,216.5206298828125,201.30198669433594
106,216.6168212890625,195.51132202148438
107,215.32803344726562,193.1588134765625
108,214.47862243652344,194.93714904785156
109,216.59500122070312,199.1328582763672
110,214.2418975830078,195.22958374023438
111,213.59068298339844,189.1182861328125
112,215.1458740234375,190.58523559570312
113,214.83973693847656,196.5738983154297
114,214.19712829589844,194.50070190429688
115,214.9110870361328,202.23377990722656
116,214.71554565429688,196.9208526611328
117,217.5472412109375,193.76844787597656
118,212.544921875,195.55230712890625
119,213.4300994873047,192.89202880859375
120,212.75503540039062,196.7904510498047
121,213.82081604003906,191.00039672851562
122,216.59140014648438,193.009521484375
123,214.18516540527344,194.14271545410156
124,210.5292205810547,190.6829376220703
125,211.1549835205078,193.5010223388672
126,208.89491271972656,193.39427185058594
127,211.53717041015625,189.41024780273438
128,210.21240234375,190.71263122558594
129,209.5208282470703,194.30726623535156
130,215.29098510742188,190.1365509033203
131,210.7892608642578,190.92837524414062
