Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Oregon,US,2021-09-12 04:32:09,44.571999999999996,-122.0709,296825,3414,,,41.0,7037.541695937893,6531675.0,,1.1501726606586369,84000041.0,USA,154862.07414070627,
Pennsylvania,US,2021-09-12 04:32:09,40.5908,-77.2098,1342953,28564,,,42.0,10490.190235282973,16346898.0,,2.126954554627005,84000042.0,USA,127690.29874967088,
Puerto Rico,US,2021-09-12 04:32:09,18.2208,-66.5901,176693,2995,,,72.0,5532.558848781379,2770881.0,,1.6950303633986632,630.0,PRI,86761.00465479786,
Rhode Island,US,2021-09-12 04:32:09,41.6809,-71.5118,165849,2793,,,44.0,15655.569725523215,4993608.0,,1.6840620082122897,84000044.0,USA,471379.2559854479,
South Carolina,US,2021-09-12 04:32:09,33.8569,-80.945,784052,11149,,,45.0,15228.113272556991,8097831.0,,1.421972012060425,84000045.0,USA,157278.71076156106,
South Dakota,US,2021-09-12 04:32:09,44.2998,-99.4388,136772,2085,,,46.0,15460.420342753536,906493.0,,1.5244348258415463,84000046.0,USA,102468.06961778492,
Tennessee,US,2021-09-12 04:32:09,35.7478,-86.6923,1124713,13882,,,47.0,16469.239178852382,9405258.0,,1.2342704316567872,84000047.0,USA,137721.75082960253,
Texas,US,2021-09-12 04:32:09,31.0545,-97.5635,3821518,60061,,,48.0,13179.520222199837,30855520.0,,1.571652940009703,84000048.0,USA,106413.4592082234,
Utah,US,2021-09-12 04:32:09,40.15,-111.8624,479979,2724,,,49.0,14971.468746627374,4032866.0,,0.567524829211278,84000049.0,USA,125792.85193380574,
Vermont,US,2021-09-12 04:32:09,44.0459,-72.7107,29934,287,,,50.0,4797.199950640155,1949967.0,,0.9587759738090466,84000050.0,USA,312500.2203564486,
Virgin Islands,US,2021-09-12 04:32:09,18.3358,-64.8963,6250,65,,,78.0,5826.527948689264,172025.0,,1.04,850.0,VIR,160369.35525972332,
Virginia,US,2021-09-12 04:32:09,37.7693,-78.17,801827,12036,,,51.0,9394.004043573685,8797038.0,,1.501071926986744,84000051.0,USA,103063.8910182263,
Washington,US,2021-09-12 04:32:09,47.4009,-121.4905,597732,6918,,,53.0,7849.512790265077,9747180.0,,1.1573748770351928,84000053.0,USA,128001.53593753713,
West Virginia,US,2021-09-12 04:32:09,38.4912,-80.9545,208045,3207,,,54.0,11608.701741542407,3591597.0,,1.5414934269028335,84000054.0,USA,200407.500054404,
Wisconsin,US,2021-09-12 04:32:09,44.2685,-89.6165,753972,8613,,,55.0,12949.429740208303,10105166.0,,1.142350113797329,84000055.0,USA,173555.6985274543,
Wyoming,US,2021-09-12 04:32:09,42.756,-107.3025,80643,879,,,56.0,13933.778999549035,926262.0,,1.0899892117108738,84000056.0,USA,160042.78119217153,
