Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-09-12 04:32:09,32.3182,-86.9023,745812,12673,,,1.0,15210.766063283358,5574020.0,,1.6992217877963884,84000001.0,USA,113681.61715293223,
Alaska,US,2021-09-12 04:32:09,61.3707,-152.4044,95175,458,,,2.0,13010.136081854158,2844730.0,,0.4812188074599422,84000002.0,USA,388866.0301143471,
American Samoa,US,2021-09-12 04:32:09,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-09-12 04:32:09,33.7298,-111.4312,1045835,19183,,,4.0,14368.397617327339,12115312.0,,1.8342281526244584,84000004.0,USA,166448.45513295822,
Arkansas,US,2021-09-12 04:32:09,34.9697,-92.3731,473885,7232,,,5.0,15702.974745874817,3739596.0,,1.5261086550534413,84000005.0,USA,123917.78922686828,
California,US,2021-09-12 04:32:09,36.1162,-119.6816,4589925,66780,,,6.0,11309.396588493642,85528864.0,,1.500650987760356,84000006.0,USA,216461.78702727,
Colorado,US,2021-09-12 04:32:09,39.0598,-105.3111,634888,7274,,,8.0,11024.780437929434,10489995.0,,1.1457138896939305,84000008.0,USA,182157.9422984488,
Connecticut,US,2021-09-12 04:32:09,41.5978,-72.7554,378933,8424,,,9.0,10628.401023536113,9662754.0,,2.2230842919460696,84000009.0,USA,271023.17429143854,
Delaware,US,2021-09-12 04:32:09,39.3185,-75.5071,124575,1900,,,10.0,12793.140843161176,2104737.0,,1.525185631145896,84000010.0,USA,216144.4662156333,
Diamond Princess,US,2021-09-12 04:32:09,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-09-12 04:32:09,38.8974,-77.0268,56966,1165,,,11.0,8071.708213543342,1907315.0,,2.0450795211178603,84000011.0,USA,270254.01382077765,
Florida,US,2021-09-12 04:32:09,27.7663,-81.6868,3452700,48772,,,12.0,16075.715984416796,38352986.0,,1.4125756654212644,84000012.0,USA,178570.8894749945,
Georgia,US,2021-09-12 04:32:09,33.0406,-83.6431,1484274,23741,,,13.0,13979.60691591547,10899918.0,,1.5995025177292064,84000013.0,USA,102660.67387538387,
Grand Princess,US,2021-09-12 04:32:09,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-09-12 04:32:09,13.4443,144.7937,12294,159,,,66.0,7485.888606762509,207342.0,,1.2933138116154221,316.0,GUM,126251.75821566227,
Hawaii,US,2021-09-12 04:32:09,21.0943,-157.4983,71156,653,,,15.0,5025.595534059576,2211360.0,,0.9177019506436562,84000015.0,USA,156183.60981783664,
Idaho,US,2021-09-12 04:32:09,44.2405,-114.4788,233577,2472,,,16.0,13070.425530129009,906535.0,,1.0583233794423252,84000016.0,USA,50727.58965118784,
Illinois,US,2021-09-12 04:32:09,40.3495,-88.9861,1564386,26694,,,17.0,12345.392189488792,29756833.0,,1.7063563596196851,84000017.0,USA,234826.8098168369,
Indiana,US,2021-09-12 04:32:09,39.8494,-86.2583,899844,14783,,,18.0,13366.23184718144,12745374.0,,1.6428403145434098,84000018.0,USA,189319.06404114305,
Iowa,US,2021-09-12 04:32:09,42.0115,-93.2105,421168,6337,,,19.0,13221.64009039419,1600621.0,,1.5191105400429579,84000019.0,USA,50731.711182319246,
Kansas,US,2021-09-12 04:32:09,38.5266,-96.7265,388019,5770,,,20.0,13318.818362867854,1668695.0,,1.4870405830642317,84000020.0,USA,57278.24051921626,
Kentucky,US,2021-09-12 04:32:09,37.6681,-84.6701,620356,8003,,,21.0,13885.438795543003,6462048.0,,1.2900657042085513,84000021.0,USA,144640.12921267966,
Louisiana,US,2021-09-12 04:32:09,31.1695,-91.8678,712574,13056,,,22.0,15328.14747222613,8739841.0,,1.832230757787963,84000022.0,USA,188002.32920624144,
Maine,US,2021-09-12 04:32:09,44.6939,-69.3819,80513,961,,,23.0,5989.605806226993,2593439.0,,1.1935960652317017,84000023.0,USA,192933.77830282727,
Maryland,US,2021-09-12 04:32:09,39.0639,-76.8021,509393,10159,,,24.0,8425.735401145943,12298537.0,,1.9943344333353616,84000024.0,USA,203426.8601712297,
Massachusetts,US,2021-09-12 04:32:09,42.2302,-71.5301,777022,18349,,,25.0,11273.437240433557,26899364.0,,2.3614517993055544,84000025.0,USA,390269.8917940261,
Michigan,US,2021-09-12 04:32:09,43.3266,-84.5361,1088201,21821,,,26.0,10896.33104789625,15551601.0,,2.005236165009957,84000026.0,USA,155720.6736814195,
Minnesota,US,2021-09-12 04:32:09,45.6945,-93.9002,666496,7985,,,27.0,11818.076073048738,10610875.0,,1.198056702515844,84000027.0,USA,188148.35790704074,
Mississippi,US,2021-09-12 04:32:09,32.7416,-89.6787,460312,8905,,,28.0,15466.698743913696,2349326.0,,1.9345574306122804,84000028.0,USA,78938.45368629058,
Missouri,US,2021-09-12 04:32:09,38.4561,-92.2884,790011,11357,,,29.0,12872.020657513212,6724449.0,,1.4375749198428882,84000029.0,USA,109564.609148979,
Montana,US,2021-09-12 04:32:09,46.9219,-110.4544,133715,1834,,,30.0,12511.01725522045,1693750.0,,1.3715738697977042,84000030.0,USA,158475.3802941303,
Nebraska,US,2021-09-12 04:32:09,41.1254,-98.2681,253080,2356,,,31.0,13083.07244386913,3493195.0,,0.9309309309309308,84000031.0,USA,180582.12124846465,
Nevada,US,2021-09-12 04:32:09,38.3135,-117.0554,401901,6702,,,32.0,13048.072889814674,4141324.0,,1.6675748505228898,84000032.0,USA,134451.76153415607,
New Hampshire,US,2021-09-12 04:32:09,43.4525,-71.5639,111111,1441,,,33.0,8171.66294896489,2297725.0,,1.2969012969012972,84000033.0,USA,168986.27723097042,
New Jersey,US,2021-09-12 04:32:09,40.2989,-74.521,1115659,27054,,,34.0,12560.629754598809,15294953.0,,2.424934500595612,84000034.0,USA,172197.9939632005,
New Mexico,US,2021-09-12 04:32:09,34.8405,-106.2485,239886,4605,,,35.0,11440.41788815397,4288193.0,,1.9196618393737024,84000035.0,USA,204508.47446310602,
New York,US,2021-09-12 04:32:09,42.1657,-74.9481,2331615,54636,,,36.0,11985.543417989129,66757104.0,,2.343268507021957,84000036.0,USA,343161.3574501861,
North Carolina,US,2021-09-12 04:32:09,35.6301,-79.8064,1279500,15075,,,37.0,12199.5590424333,14626137.0,,1.1781946072684641,84000037.0,USA,139454.8041377243,
North Dakota,US,2021-09-12 04:32:09,47.5289,-99.78399999999999,122351,1605,,,38.0,16055.255346677832,1698434.0,,1.3117996583599645,84000038.0,USA,222873.46698825032,
Northern Mariana Islands,US,2021-09-12 04:32:09,15.0979,145.6739,250,2,,,69.0,453.35847961700273,17542.0,,0.8,580.0,MNP,31811.25779776585,
Ohio,US,2021-09-12 04:32:09,40.3888,-82.7649,1294162,22030,,,39.0,11071.528175821919,15338317.0,,1.6345712515125617,84000039.0,USA,131218.97323147205,
Oklahoma,US,2021-09-12 04:32:09,35.5653,-96.9289,577312,8208,,,40.0,14589.74554021245,4432347.0,,1.42176154315171,84000040.0,USA,112013.63366069652,
